"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 06 12:09:58 CST 2023","Mon Feb 06 12:09:58 CST 2023","1","Suite Demo","EdgeTest","TestClass.TestNGReRunDemo","TestClass.TestNGReRunDemo","test01","test01",""
"passed","Mon Feb 06 12:09:58 CST 2023","Mon Feb 06 12:09:58 CST 2023","1","Suite Demo","EdgeTest","TestClass.TestNGReRunDemo","TestClass.TestNGReRunDemo","test02","test02",""
